language_name,English
---
MainMenuScreen:
main_menu_continue_online,Continue (Online)
main_menu_load_game,Load Game
main_menu_new_game,New Game
main_menu_quit_game,Quit Game
---
OfflineNewGameScreen:
offline_newgame_warning,If you start a game in "Offline Mode" by pressing the "New Game" button, you cannot access the official Pokémon 3D server and various online features there such as trading and trainer customization. Click on the GameJolt button in the lower right corner in order to start a game in "Online Mode". You can still access servers that allow offline save games by pressing the "Load Game" button after saving your offline game.
offline_newgame_start,Start a new offline game.
---
LoadMenu:
load_menu_name,Name
load_menu_badges,Badges
load_menu_location,Location
load_menu_time,Time
load_menu_back,Back
load_menu_load,Load
load_menu_delete,Delete
load_menu_gamemode,GameMode
---
DeleteMenu:
delete_menu_delete_confirm,Do you really want to delete the save?
delete_menu_delete,Delete
delete_menu_cancel,Cancel
---
LanguageMenu:
language_menu_apply,Apply
language_menu_back,Back
---
PacksMenu:
pack_menu_up,Up
pack_menu_down,Down
pack_menu_toggle_on,Enable
pack_menu_toggle_off,Disable
pack_menu_information,Information
pack_menu_enabled,Enabled
pack_menu_apply,Apply
pack_menu_back,Back
pack_menu_songs,Songs
pack_menu_sounds,Sounds
pack_menu_textures,Textures
pack_menu_name,Name
pack_menu_version,Version
pack_menu_by,By
pack_menu_content,Content
pack_menu_description,Description
---
GameModeMenu:
gamemode_menu_name,Name
gamemode_menu_description,Description
gamemode_menu_version,Version
gamemode_menu_author,Author
gamemode_menu_contentpath,ContentPath
gamemode_menu_create,Create
gamemode_menu_back,Back
---
Pausescreen:
pause_menu_title,Game menu
pause_menu_back_to_game,Back to game
pause_menu_disconnect,Disconnect
pause_menu_quit_to_menu,Quit to menu
pause_menu_autosave_fail,Cannot create autosave.
pause_menu_yes,Yes
pause_menu_no,No
pause_menu_confirmation,Do you really want to quit? Unsaved progress will be lost.
---
IngameMenu:
game_menu_phone,PokéBar
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Bag
game_menu_trainer_card,<playername>
game_menu_save,Save
game_menu_options,Options
game_menu_exit,Exit Menu
---
InventoryScreen:
inventory_menu_bag,Bag
inventory_menu_pocketadvice,PRESS LEFT OR RIGHT~TO SWITCH POCKETS
inventory_menu_backadvice,PRESS E~TO GO BACK
inventory_menu_items,Items
inventory_menu_description,Description
---
GameInteractions:
game_interaction_accept,Accept
game_interaction_dismiss,Dismiss
game_interaction_enter,Enter
game_interaction_back,Back
game_interaction_edit,Edit
game_interaction_clear,Clear
game_interaction_interact,Interact
game_interaction_menu,Menu
game_interaction_phone,PokéBar
---
NewGameScreen:
new_game_intro_1,Hello friend! We are very close to~the Breeze Town! I am excited man!*Remember me? I am Baro!~We made friendship when we~live in the Kanto land!*You will find a lot of Pokémon~in new Corna land, yes!
new_game_intro_2,Like this funky Plug-Oink!~It is cool piggy.*The people live with Pokémon~very close with love.*They are pet friend sometime~but also we fight for victory!*But no getting angry, okay?~Fighting with the angry~gets you hurt.*We still do not know about~Pokémon much info.~We study for years, so weird.*I will know the info really soon~'cuz I do the study!*Uh-oh! Friendo, I am so sorry.~I forget your name now!~What is again?
new_game_intro_3,Oh! I forget!~I have special Pokémon from~new Corna land.~You get one of me when we have home.*Ah the big moving car stop.~I think we are in the Breeze Town!~Is excited!*When you get out, go to momma!~She needs help with the clock 'cuz~technology hard for her.*When you are done with the~clock setting, go to Lab!~Oh! But maybe I am not there.~I hear the strange scream from here!*I wanna know what it is!~Maybe rare Pokémon!*~I cannot wait! I go now!~See ya later friend!
new_game_intro_weird_name_1,Oh right! I know it again now. Your name was~
new_game_intro_weird_name_2,!*Still think it is crazy name you have.
new_game_intro_known_name_1,Oh right! I remember now. Your name was~
new_game_intro_known_name_2,!*Funny how many people have same name as you!
new_game_intro_same_name_1,Haha! You joke maker!~We don't have same name!~But okay, if you want, I call you~
new_game_intro_same_name_2,!
new_game_intro_name_1,Oh right! I remember now. Your name was~
new_game_intro_name_2,!
new_game_your_name,What is name now?
new_game_choose_skin,Is dark, cannot see friend.
new_game_name_too_short,What? You speak too fast. Saying name takes longer, no?
---
MapScreen:
map_screen_cities,Cities
map_screen_routes,Routes
map_screen_places,Places
map_screen_roaming,Roaming Pokes
---
PokedexScreen:
pokedex_screen_seen,Seen
pokedex_screen_obtained,Obtained
pokedex_screen_rare,Rare
pokedex_screen_backadvice,PRESS E TO GO BACK
---
PartyScreen:
party_screen_choose_a_pokemon,Choose a Pokémon
party_screen_backadvice,PRESS THE E KEY TO GO BACK
party_screen_item_give,Give
party_screen_item_take,Take
party_screen_item_back,Back
party_screen_doesnt_hold_item,~doesn't hold an item.
party_screen_take_item_1,Took 
party_screen_take_item_2, from~
party_screen_take_item_3,~and put it into the~
party_screen_take_item_4, pocket!
